doctor_id,user_id_fk,phone_number,specialty,license_number
1,1,97515663,Internal Medicine,6615153f-7ae1-42cd-ac2e-f9956a4f47ea
2,2,93297042,Ophthalmology,6703d09b-02dd-460a-b53a-17b94c041b42
3,3,97381422,Internal Medicine,68bbb478-aa0e-4a58-9f19-b11b60f2e070
4,4,81177742,Paediatrics,c14ed759-b7eb-4c11-90f8-d97d5fad08e3
5,5,92733985,Orthopaedics,183583b1-1bdf-4a9e-ade0-dab995856191
6,6,97224435,Paediatrics,a7887f55-0c10-4894-bfe6-b7a22d79f45f
7,7,96196085,Obstetrics and Gynaecology (O&G),301d28c0-90ae-43bc-9adb-6bdc64e19ead
8,8,95449502,Paediatrics,5aa830da-4325-4ee6-a807-9a701223fe0b
9,9,83012551,Orthopaedics,f9e9c27d-f8ed-461b-87c7-4bd8230e1363
10,10,83763046,Obstetrics and Gynaecology (O&G),fd32cd6e-c59d-4222-b1a2-760ead7d2d41
11,11,92735006,Ophthalmology,0fd1fbe5-8f36-49bb-8408-9d6f184fbd1e
12,12,82545921,Family Medicine,9a4d3ee6-fb2a-4a20-ae95-9d3bfe21552b
13,13,92292902,Obstetrics and Gynaecology (O&G),3354cd85-9a67-4376-9d3f-43a6f50427a1
14,14,83221175,Obstetrics and Gynaecology (O&G),a57876e2-16d1-42bb-b170-8e2166a219b8
15,15,97629217,Orthopaedics,4e3beb48-77e0-4cea-8c45-ccfdb0e23721
16,16,95542258,Ophthalmology,d8e2ec08-ef1a-4466-9697-4af4d1d9a6f2
17,17,84435925,Otorhinolaryngology (ENT),b82d9704-e20d-4290-a991-3d61d50286f1
18,18,88838901,Orthopaedics,b9d46d39-ad72-4c00-935b-f72885be59c7
19,19,86084975,Ophthalmology,df79b671-75fe-4d70-9247-79c94eeff8c8
20,20,83318755,Ophthalmology,9f69e550-0e9e-4f00-9821-85f5c71fff9b
21,21,96464558,Cardiology,6dcf0be4-d97e-4a74-bdd4-897507c965b5
22,22,85868896,Dermatology,a06a346b-834c-4efa-bf59-9ba14f435adf
23,23,81715704,Paediatrics,7756b851-615f-4f2b-8455-96b38e303c0a
24,24,81334256,Cardiology,aa9c514b-0c70-4473-aab0-029e962bef6c
25,25,86265322,Ophthalmology,4be689d2-22b8-4096-a958-5903e99a8a89
26,26,99856095,Obstetrics and Gynaecology (O&G),2e5a7513-963f-40d3-b570-18c6085e125f
27,27,91671851,Ophthalmology,13e95c09-3722-4f9c-929d-a8ae2b372939
28,28,83632959,Dermatology,622c5a78-5b75-4e02-9c80-439c4dc00956
29,29,98543567,Ophthalmology,f84d32e5-5caf-4e8b-8edf-c486181ec02b
30,30,82359812,Paediatrics,7a909d8c-99a3-432b-88bd-5427ad4d6e51
31,31,96232904,Cardiology,0dfd79f7-2516-4212-aca8-6b1a7602322f
32,32,98462770,Dermatology,b9a87b87-7ac8-406d-a48e-5157ea3e8f58
33,33,96965572,Family Medicine,6b95d15a-8b7f-4a62-8929-15d71f1a384b
34,34,87451473,Internal Medicine,0501d4b6-71f3-492f-b219-220a67c378ea
35,35,88632242,Family Medicine,1cab055d-ccc9-42c2-b24a-f3cdae786d0e
36,36,98385096,Internal Medicine,6ac57fd1-7903-4d46-aa59-ab523f155f56
37,37,93815157,Obstetrics and Gynaecology (O&G),eaa24da1-47c4-4ec8-b0ff-0b7f3cab1f00
38,38,94807265,Cardiology,23017153-9852-4dfb-af4b-74814689a801
39,39,89444396,Family Medicine,b77187f1-0265-4e85-a161-7d2824425dd5
40,40,82872626,General Practitioner,05520c61-584c-4a88-8d3d-88d76f3cccec
41,41,81129539,Paediatrics,ae203bc6-4154-4ffe-864f-0d592ee2f5be
42,42,89205014,Paediatrics,72efd11e-6120-479c-a5bf-a0984e815c67
43,43,98493847,Paediatrics,1fefa321-5511-4c8a-b30e-daecfe3b6d7f
44,44,93220858,Orthopaedics,41d6b08d-0cbd-48cf-b191-48d1e2b5154b
45,45,81777459,Family Medicine,e721a6f8-ce14-4fa8-b611-cd76a50dfb3f
46,46,89339029,Internal Medicine,293a4bef-5f84-47f2-bf3f-bc5acbe78367
47,47,89706662,Cardiology,62fd0900-97b8-45f9-8fd7-6a24d72600ba
48,48,86728691,General Practitioner,1155ab2b-9830-4e5c-a569-0b9e785231b3
49,49,81590588,Orthopaedics,f460c5f9-c6aa-4d71-864a-823a8c4c725e
50,50,88425958,Obstetrics and Gynaecology (O&G),f11d1686-c29d-4e4c-b120-d948d4583b46
51,51,92722754,General Practitioner,578e6a28-a150-4145-bfba-b3a1f8fa84d9
52,52,94978649,Family Medicine,8da085ba-8548-4dcd-aa16-b2cde2839135
53,53,93770374,General Practitioner,4ecf1ce1-7bb6-4ad6-88b3-9cb338ff0a74
54,54,88044694,Family Medicine,7f04d50d-cc75-4fa6-a32f-91e3140bdbcf
55,55,82769601,Internal Medicine,7f76b7fc-17bd-428b-af91-19605e583d44
56,56,89045336,Obstetrics and Gynaecology (O&G),793a1392-701d-40af-aef8-4a5395bf96e1
57,57,95496371,Family Medicine,b0cdd938-63b5-4679-9587-669a0967f1fc
58,58,80953276,Obstetrics and Gynaecology (O&G),38ad8622-93de-4bd6-9769-ba66a03694d4
59,59,87399468,Ophthalmology,20e5783f-b7be-4486-ab75-617f05fb65e2
60,60,95162867,Paediatrics,0a7cddd4-58d9-41f6-a1e8-0bab0f8f8da3
61,61,88292548,Otorhinolaryngology (ENT),337774e9-e798-445c-a7c4-73be58818f88
62,62,91426730,Family Medicine,3dfa1a3d-9f98-4ba4-88d6-972883cf7963
63,63,99503861,Orthopaedics,1baa02e3-7576-4fc5-b6ea-8d190a4c3a1b
64,64,92176094,Paediatrics,5bf1803f-ebe5-4140-be74-4efaba5e8432
65,65,81904945,General Practitioner,13b7d622-78a3-4ac7-ab80-3baf2bd996ec
66,66,90083560,Dermatology,70d8774f-602f-4bc6-8e93-d130e51bfed4
67,67,87170465,Dermatology,5e4b05d2-6236-4645-b0c4-5ff5c9d262be
68,68,85477084,Dermatology,9f6ea33b-a6df-40f9-ba7f-1f0d63c5a2f1
69,69,82881079,Dermatology,280839ef-f582-49ef-807c-8a4bca74e1f5
70,70,95557659,Family Medicine,a430dcc6-9982-4b2d-bd43-704c93962457
71,71,80101817,General Practitioner,0528b5b8-74ba-4f2d-860c-b13115bf8219
72,72,98978556,Internal Medicine,844db920-ad6c-4dc8-a423-2019e302d086
73,73,99740944,Dermatology,1255314d-9d8c-40a0-aa3f-929c8867f331
74,74,81588027,Obstetrics and Gynaecology (O&G),0189f407-17c0-4d0a-a83a-66aa5cfc65d6
75,75,97907475,Internal Medicine,0b89e453-f0e5-4066-a739-d35529cb8068
76,76,90031000,Obstetrics and Gynaecology (O&G),0072bc92-71a3-4632-9bdb-2364f0df7e42
77,77,94354639,Orthopaedics,810f1d6b-3040-4574-88e4-6c9a5de30947
78,78,95128095,Otorhinolaryngology (ENT),e10508e3-168d-4826-9808-1435c29fef43
79,79,95932970,General Practitioner,69d8feff-2b38-4c16-90c4-02cd9dcc43f7
80,80,98724747,General Practitioner,2d6b557b-c157-422f-8544-6a68df7de09b
81,81,93746734,Internal Medicine,89164374-8cb6-46e3-89ab-8204cd9e731d
82,82,95800518,Ophthalmology,e6db7c76-36f7-4476-be72-014d5d0a1d29
83,83,95531907,Otorhinolaryngology (ENT),4e8451fa-e021-487b-831d-141ce3c665bc
84,84,96035747,General Practitioner,9ad69636-e1a0-430b-9f3a-37f19fccee26
85,85,94176747,Orthopaedics,171c5973-9397-45a0-b013-5452980ece7b
86,86,89551918,Orthopaedics,f12d41ec-d0c2-4931-8b39-99c17bc72dd4
87,87,92310716,Ophthalmology,027ef1ed-2bfd-48de-969a-a71f2be930e2
88,88,80931589,Internal Medicine,f47478c7-2d70-4467-96cc-5614020fcda0
89,89,99156407,Family Medicine,9ba79910-4255-43e3-924d-e2958be3e0e3
90,90,96826348,Internal Medicine,33e2aecc-57f3-4e4b-8aec-e9862780b346
91,91,86896329,Paediatrics,e62358d0-e1d4-4ebc-a682-9afc5af60f3d
92,92,97533636,Paediatrics,12ba8c53-3fa2-4ba6-ab93-1c8586d8509b
93,93,99537590,Otorhinolaryngology (ENT),622888fd-2caa-4a25-a80c-19e2d6f8c8ee
94,94,87234054,Obstetrics and Gynaecology (O&G),607d461d-bce2-48c4-80b3-f92b25efa2ae
95,95,81747554,Cardiology,86f70f9e-301c-4e4e-bb37-d93c1dfd06e0
96,96,99669745,General Practitioner,ec667e5d-37b5-4243-9c13-e4d0b298ff89
97,97,83661554,Dermatology,8f8fee44-00e1-4af8-8e34-f9ebd692a12f
98,98,85245682,Dermatology,03239e7f-18c3-47d9-9b4f-ee0557e45f7d
99,99,92042488,Paediatrics,d041793b-388d-4af8-afaf-a05a6c44eae2
100,100,84073209,Ophthalmology,7994f7f3-53d2-48ff-b78f-2a7aba48aa3a
101,101,83998326,Dermatology,d6878172-c174-4b83-abca-4da053a196b2
102,102,88745705,Family Medicine,14667c44-0631-425b-bd3f-6c72d4ef0876
103,103,89197597,Family Medicine,324bb35a-1896-4480-9b56-bd491dda9b52
104,104,94807325,Orthopaedics,0df428cf-17a4-4825-8ad9-e6862d447b46
105,105,88006344,Cardiology,9204b057-85e5-480a-8280-b2ea37727183
106,106,82022847,Paediatrics,246f1e71-8355-4fce-afc0-ce38e2a5c3eb
107,107,82077242,Orthopaedics,1bb259c4-d053-4797-b467-8b8d7663fbdc
108,108,91923823,Dermatology,37099896-d72f-4de9-ae9a-086ff7bda9f2
109,109,90798973,Orthopaedics,2169f0bd-d8b6-448a-b4a3-383e117dbc1f
110,110,98293532,General Practitioner,27c2dbc2-b06d-41e6-b18b-189bd6e8d6a3
111,111,82001743,Cardiology,b0a15b30-45d8-4f2e-96ff-27c099e44626
112,112,97525250,Obstetrics and Gynaecology (O&G),d457e2ce-bdeb-498f-9d8a-1c6abd73b8af
113,113,93910163,Obstetrics and Gynaecology (O&G),9267b6a4-347a-446d-8e4d-4caed075a95f
114,114,89471956,Otorhinolaryngology (ENT),b546e4d7-3e93-4aeb-b421-e3e7f8d5a4a1
115,115,83523310,Otorhinolaryngology (ENT),9fe7a9b9-8310-4909-bce2-44c3590ec68a
116,116,90808965,Obstetrics and Gynaecology (O&G),3e9094c8-60f0-40ba-946f-557927bf1680
117,117,82582008,Paediatrics,e9f0a461-cce6-4c4e-9025-5d1c84e28ec5
118,118,88335148,Cardiology,f395cd85-2877-429a-82fc-9c3903e2a887
119,119,88472931,Dermatology,d1a87828-c093-4c74-a21f-2127aba71925
120,120,98473076,Internal Medicine,26d5b6a2-f624-41ba-b64d-3fc2a494a345
121,121,99912343,Ophthalmology,419de395-a86b-4170-9844-d735ed9a9ddc
122,122,85023616,Ophthalmology,28cddf30-fc0b-4f3c-a42d-c9cbbca4f4fa
123,123,82957135,Family Medicine,30ec478b-2af0-4e2f-9c77-7eff704e166c
124,124,90635100,Internal Medicine,e79a074a-9814-45c2-951c-5bd3472fb3fe
125,125,81243299,Family Medicine,593042ef-8d40-4359-8c1a-6d63f097fac9
126,126,80890748,Family Medicine,c0d61dac-da3b-46c4-a3b1-bd93873faa07
127,127,83164579,General Practitioner,cadf529a-5247-41c6-95e9-011e4a1c5c6e
128,128,97792550,Otorhinolaryngology (ENT),4354dadd-c115-4e6e-a860-ff9b46b0b9e8
129,129,91651492,Dermatology,c8cbb8ad-9a2f-44f9-9262-32f4b9aa891e
130,130,84800632,Orthopaedics,4251f77e-cda8-49c0-b42a-d998ce2e65a8
131,131,90087884,Internal Medicine,ae4a97bb-a3e8-47b0-a7d4-2025b6f56ef2
132,132,94767151,Family Medicine,451156e4-b980-45f7-afc4-d3370d98a6e2
133,133,94978226,General Practitioner,00286cef-edcc-4388-9448-cd7e201f9394
134,134,88276585,Ophthalmology,95d1d437-6f4e-433c-b4aa-320240f789b9
135,135,86353400,Cardiology,4f0f9af7-41e0-4080-b481-b284a3f8a289
136,136,89691797,Obstetrics and Gynaecology (O&G),594f3dfe-0755-424c-8e27-0ef66e30611a
137,137,81391497,Ophthalmology,c5c2ce9f-0748-4ae5-94aa-d1de5800b65f
138,138,88444673,Paediatrics,58f08cca-51ff-4542-9b23-e3c1b606eaa2
139,139,86802160,Cardiology,3e15cfd9-154b-4119-9aa4-9eaa03f913c8
140,140,98324103,Internal Medicine,64b0a04c-ffb6-44cc-a7eb-da7d20f4670e
141,141,85636634,Orthopaedics,47540fac-c8c9-4e80-9a8e-3ad1865dd061
142,142,90348309,Orthopaedics,74bea522-3e44-441b-96ca-2e4ee03b288d
143,143,95506596,Obstetrics and Gynaecology (O&G),ba1bfb02-9589-437a-b07a-1c4e9085f239
144,144,83874794,Ophthalmology,2a9dff21-b011-4eed-9a2e-99b1e9b6a18a
145,145,84913301,Family Medicine,1a4635ab-5876-4516-b386-a4bce08a30d0
146,146,87816542,Cardiology,9ff3ab10-3ea5-4a7c-b8fa-55d56ab72289
147,147,91563791,Paediatrics,8f87c09f-36c3-4ee2-9e93-c130a89d6340
148,148,92222618,Cardiology,018ee3ec-6eaf-4691-be70-f1aecca8d612
149,149,82516736,General Practitioner,2ab0d756-1836-41da-bb90-009fb3fee948
