user_id,role_id_fk,username,password_hash,email
1,2,msmith,banana&45,msmith@gmail.com
2,2,sdavies,cherry&27,sdavies@gmail.com
3,2,tmitchell,berry&94,tmitchell@gmail.com
4,2,kwells,berry@89,kwells@gmail.com
5,2,khanna,orange&13,khanna@gmail.com
6,2,tnewton,peach$66,tnewton@gmail.com
7,2,kolson,banana@14,kolson@gmail.com
8,2,sthomas,grape#93,sthomas@gmail.com
9,2,dferguson,peach$38,dferguson@gmail.com
10,2,hday,orange$90,hday@gmail.com
11,2,jduncan,berry#53,jduncan@gmail.com
12,2,dmayo,orange&12,dmayo@gmail.com
13,2,kfletcher,peach#21,kfletcher@gmail.com
14,2,tfreeman,banana$82,tfreeman@gmail.com
15,2,rstewart,banana#94,rstewart@gmail.com
16,2,mdougherty,peach@29,mdougherty@gmail.com
17,2,espencer,banana@41,espencer@gmail.com
18,2,jkim,apple$21,jkim@gmail.com
19,2,jmoore,orange&20,jmoore@gmail.com
20,2,dgalloway,peach@89,dgalloway@gmail.com
21,2,ksmith,orange!31,ksmith@gmail.com
22,2,gsmith,peach!38,gsmith@gmail.com
23,2,vnewton,cherry!59,vnewton@gmail.com
24,2,dmartinez,mango!57,dmartinez@gmail.com
25,2,skramer,apple$12,skramer@gmail.com
26,2,acontreras,banana&48,acontreras@gmail.com
27,2,wglenn,mango$55,wglenn@gmail.com
28,2,jellis,mango$91,jellis@gmail.com
29,2,jbruce,mango#58,jbruce@gmail.com
30,2,bmitchell,banana$54,bmitchell@gmail.com
31,2,jhuynh,apple@20,jhuynh@gmail.com
32,2,kfrazier,apple$32,kfrazier@gmail.com
33,2,jhartman,orange@56,jhartman@gmail.com
34,2,hgarcia,berry&45,hgarcia@gmail.com
35,2,lyoung,grape@83,lyoung@gmail.com
36,2,eallison,apple&95,eallison@gmail.com
37,2,lmyers,mango@80,lmyers@gmail.com
38,2,tparsons,peach@75,tparsons@gmail.com
39,2,cjohnson,cherry!52,cjohnson@gmail.com
40,2,etaylor,mango&42,etaylor@gmail.com
41,2,wreynolds,grape#30,wreynolds@gmail.com
42,2,jcarter,berry@78,jcarter@gmail.com
43,2,mthomas,peach&29,mthomas@gmail.com
44,2,mlogan,orange$70,mlogan@gmail.com
